Topic,Characteristic,Note,Total,Men+,Women+,Total.1,Men+.1,Women+.1,Total.2,Men+.2,Women+.2,Total.3,Men+.3,Women+.3,Total.4,Men+.4,Women+.4,Total.5,Men+.5,Women+.5,Total.6,Men+.6,Women+.6,Total.7,Men+.7,Women+.7,Total.8,Men+.8,Women+.8,Total.9,Men+.9,Women+.9,Total.10,Men+.10,Women+.10,Total.11,Men+.11,Women+.11
Population and dwellings,"Population, 2021",1.0,1017449.0,,,,,,2794356.0,,,,,,549459.0,,,,,,1762949.0,,,,,,662248.0,,,,,,91867.0,,,,,
Population and dwellings,"Population, 2016",1.0,934243.0,,,,,,2731571.0,,,,,,531902.0,,,,,,1704694.0,,,,,,631486.0,,,,,,85792.0,,,,,
Population and dwellings,"Population percentage change, 2016 to 2021",,8.9,,,8.9,,,2.3,,,2.3,,,3.3,,,3.3,,,3.4,,,3.4,,,4.9,,,4.9,,,7.1,,,7.1,,
Population and dwellings,Total private dwellings,2.0,427113.0,,,,,,1253238.0,,,,,,283219.0,,,,,,878542.0,,,,,,328347.0,,,,,,53070.0,,,,,
Population and dwellings,Private dwellings occupied by usual residents,3.0,407252.0,,,,,,1160892.0,,,,,,265711.0,,,,,,816338.0,,,,,,305336.0,,,,,,49222.0,,,,,
Population and dwellings,Population density per square kilometre,,364.9,,,364.9,,,4427.8,,,4427.8,,,1214.8,,,1214.8,,,4833.5,,,4833.5,,,5749.9,,,5749.9,,,4722.3,,,4722.3,,
Population and dwellings,Land area in square kilometres,,2788.2,,,,,,631.1,,,,,,452.3,,,,,,364.74,,,,,,115.18,,,,,,19.45,,,,,
Age characteristics,Total - Age groups of the population - 100% data,,1017445.0,496045.0,521405.0,100.0,100.0,100.0,2794355.0,1350865.0,1443490.0,100.0,100.0,100.0,549460.0,267585.0,281870.0,100.0,100.0,100.0,1762950.0,867975.0,894980.0,100.0,100.0,100.0,662250.0,324570.0,337675.0,100.0,100.0,100.0,91870.0,43585.0,48285.0,100.0,100.0,100.0
Age characteristics,  0 to 14 years,,166920.0,84820.0,82105.0,16.4,17.1,15.7,384295.0,197395.0,186900.0,13.8,14.6,12.9,81030.0,41355.0,39675.0,14.7,15.5,14.1,270430.0,138255.0,132170.0,15.3,15.9,14.8,70570.0,36595.0,33980.0,10.7,11.3,10.1,8450.0,4240.0,4205.0,9.2,9.7,8.7
Age characteristics,    0 to 4 years,,48790.0,24600.0,24195.0,4.8,5.0,4.6,123550.0,63380.0,60170.0,4.4,4.7,4.2,25250.0,12960.0,12285.0,4.6,4.8,4.4,88670.0,45335.0,43335.0,5.0,5.2,4.8,23840.0,12170.0,11670.0,3.6,3.7,3.5,2910.0,1510.0,1400.0,3.2,3.5,2.9
Age characteristics,    5 to 9 years,,57410.0,29290.0,28125.0,5.6,5.9,5.4,129040.0,66350.0,62690.0,4.6,4.9,4.3,28145.0,14410.0,13735.0,5.1,5.4,4.9,93325.0,47700.0,45620.0,5.3,5.5,5.1,23070.0,12140.0,10930.0,3.5,3.7,3.2,2835.0,1395.0,1440.0,3.1,3.2,3.0
Age characteristics,    10 to 14 years,,60720.0,30930.0,29790.0,6.0,6.2,5.7,131710.0,67665.0,64040.0,4.7,5.0,4.4,27630.0,13980.0,13650.0,5.0,5.2,4.8,88435.0,45220.0,43215.0,5.0,5.2,4.8,23660.0,12280.0,11380.0,3.6,3.8,3.4,2705.0,1340.0,1365.0,2.9,3.1,2.8
Age characteristics,  15 to 64 years,,678375.0,333520.0,344850.0,66.7,67.2,66.1,1933075.0,945475.0,987600.0,69.2,70.0,68.4,343410.0,172560.0,170845.0,62.5,64.5,60.6,1197045.0,603075.0,593965.0,67.9,69.5,66.4,478960.0,236425.0,242535.0,72.3,72.8,71.8,62060.0,30275.0,31785.0,67.6,69.5,65.8
Age characteristics,    15 to 19 years,,60385.0,30685.0,29705.0,5.9,6.2,5.7,134810.0,69135.0,65675.0,4.8,5.1,4.5,24665.0,12380.0,12285.0,4.5,4.6,4.4,82475.0,41675.0,40805.0,4.7,4.8,4.6,26315.0,13645.0,12670.0,4.0,4.2,3.8,2710.0,1375.0,1340.0,2.9,3.2,2.8
Age characteristics,    20 to 24 years,,70785.0,35910.0,34875.0,7.0,7.2,6.7,185650.0,93740.0,91915.0,6.6,6.9,6.4,31980.0,15915.0,16070.0,5.8,5.9,5.7,125235.0,63220.0,62015.0,7.1,7.3,6.9,43290.0,21135.0,22155.0,6.5,6.5,6.6,6040.0,2565.0,3475.0,6.6,5.9,7.2
Age characteristics,    25 to 29 years,,72830.0,36540.0,36295.0,7.2,7.4,7.0,243955.0,121370.0,122585.0,8.7,9.0,8.5,39470.0,20145.0,19325.0,7.2,7.5,6.9,153995.0,77680.0,76315.0,8.7,8.9,8.5,67155.0,32785.0,34375.0,10.1,10.1,10.2,8765.0,4240.0,4525.0,9.5,9.7,9.4
Age characteristics,    30 to 34 years,,70190.0,34670.0,35520.0,6.9,7.0,6.8,246785.0,122845.0,123935.0,8.8,9.1,8.6,36900.0,18700.0,18200.0,6.7,7.0,6.5,146855.0,73810.0,73040.0,8.3,8.5,8.2,69225.0,34580.0,34640.0,10.5,10.7,10.3,9035.0,4545.0,4490.0,9.8,10.4,9.3
Age characteristics,    35 to 39 years,,69520.0,33780.0,35735.0,6.8,6.8,6.9,213810.0,105070.0,108740.0,7.7,7.8,7.5,36280.0,18670.0,17610.0,6.6,7.0,6.2,135880.0,67835.0,68040.0,7.7,7.8,7.6,57330.0,29065.0,28270.0,8.7,9.0,8.4,7455.0,3820.0,3635.0,8.1,8.8,7.5
Age characteristics,    40 to 44 years,,65890.0,31520.0,34370.0,6.5,6.4,6.6,185820.0,88905.0,96910.0,6.6,6.6,6.7,36805.0,18725.0,18085.0,6.7,7.0,6.4,127165.0,63885.0,63285.0,7.2,7.4,7.1,45075.0,22380.0,22695.0,6.8,6.9,6.7,5985.0,3035.0,2945.0,6.5,7.0,6.1
Age characteristics,    45 to 49 years,,66240.0,31705.0,34540.0,6.5,6.4,6.6,175875.0,82600.0,93275.0,6.3,6.1,6.5,30685.0,15655.0,15035.0,5.6,5.9,5.3,110130.0,55495.0,54630.0,6.2,6.4,6.1,42045.0,20055.0,21990.0,6.3,6.2,6.5,5205.0,2635.0,2570.0,5.7,6.0,5.3
Age characteristics,    50 to 54 years,,67265.0,32775.0,34490.0,6.6,6.6,6.6,184060.0,87130.0,96925.0,6.6,6.4,6.7,30385.0,15180.0,15200.0,5.5,5.7,5.4,105545.0,54115.0,51435.0,6.0,6.2,5.7,44840.0,21665.0,23175.0,6.8,6.7,6.9,5340.0,2635.0,2705.0,5.8,6.0,5.6
Age characteristics,    55 to 59 years,,71465.0,35225.0,36235.0,7.0,7.1,6.9,191380.0,92710.0,98665.0,6.8,6.9,6.8,37125.0,18320.0,18805.0,6.8,6.8,6.7,108040.0,55305.0,52730.0,6.1,6.4,5.9,44360.0,22060.0,22305.0,6.7,6.8,6.6,5560.0,2665.0,2895.0,6.1,6.1,6.0
Age characteristics,    60 to 64 years,,63795.0,30710.0,33090.0,6.3,6.2,6.3,170935.0,81960.0,88970.0,6.1,6.1,6.2,39105.0,18870.0,20240.0,7.1,7.1,7.2,101725.0,50055.0,51670.0,5.8,5.8,5.8,39320.0,19060.0,20265.0,5.9,5.9,6.0,5965.0,2755.0,3205.0,6.5,6.3,6.6
