NOM_BORNE_RECHARGE,NOM_PARC,ADRESSE,VILLE,PROVINCE,NIVEAU_RECHARGE,MODE_TARIFICATION,TYPE_EMPLACEMENT,LONGITUDE,LATITUDE
"CEA-10190","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","Montréal","QC","Niveau 2","par heure",,-73.671649,45.557084
"CEA-10198","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","Montréal","QC","Niveau 2","par heure",,-73.671649,45.557084
"CEA-11344","1020 | BSR | AC | 2503 Henri-Bourassa E.","2503 Henri-Bourassa E. Montréal QC H2B 1V1","Montréal","QC","Niveau 2","par heure",,-73.65382,45.578369
"CEA-11860","1020 | BSR | AC | 2503 Henri-Bourassa E.","2503 Henri-Bourassa E. Montréal QC H2B 1V1","Montréal","QC","Niveau 2","par heure",,-73.65382,45.578369
"CEA-11922","1021 | BSR | AC | 10940 St-Laurent","10940 Boul St-Laurent Montréal QC H3L 2R1","Montréal","QC","Niveau 2","par heure","sur rue",-73.675833,45.55174
"CEA-11921","1021 | BSR | AC | 10940 St-Laurent","10940 Boul St-Laurent Montréal QC H3L 2R1","Montréal","QC","Niveau 2","par heure","sur rue",-73.675833,45.55174
"CEA-12067","1022 | BSR | AC | 9494 Papineau","9490 papineau Montréal QC H2M 1Z3","Montréal","QC","Niveau 2","par heure","sur rue",-73.642342,45.563199
"CEA-12061","1022 | BSR | AC | 9494 Papineau","9490 papineau Montréal QC H2M 1Z3","Montréal","QC","Niveau 2","par heure","sur rue",-73.642342,45.563199
"CEA-11204","1023 | BSR | AC | 8340 Papineau","8340 Avenue Papineau Montréal QC H2M 2R5","Montréal","QC","Niveau 2","par heure","sur rue",-73.624298,45.555275
"CEA-11581","1023 | BSR | AC | 8340 Papineau","8340 Avenue Papineau Montréal QC H2M 2R5","Montréal","QC","Niveau 2","par heure","sur rue",-73.624298,45.555275
"CEA-12066","1024 | BSR | AC | 1110 Sauvé","1110 Sauvé Montréal QC H2C 1Z9","Montréal","QC","Niveau 2","par heure",,-73.652551,45.55656
"CEA-12055","1024 | BSR | AC | 1110 Sauvé","1110 Sauvé Montréal QC H2C 1Z9","Montréal","QC","Niveau 2","par heure",,-73.652551,45.55656
"CEA-12024","1025 | BSR | AC | 10001 Jules-Crépeau","10001 jules crépeau Montréal QC H4N 2Z3","Montréal","QC","Niveau 2","par heure","sur rue",-73.669593,45.535466
"CEA-12062","1025 | BSR | AC | 10001 Jules-Crépeau","10001 jules crépeau Montréal QC H4N 2Z3","Montréal","QC","Niveau 2","par heure","sur rue",-73.669593,45.535466
"CEA-12120","1026 | BSR | AC | 2425 Gouin E. - Parc de la Visitation","2425 Gouin E Montréal QC H2B 1X7","Montréal","QC","Niveau 2","par heure","sur rue",-73.656741,45.578392
"CEA-12106","1026 | BSR | AC | 2425 Gouin E. - Parc de la Visitation","2425 Gouin E Montréal QC H2B 1X7","Montréal","QC","Niveau 2","par heure","sur rue",-73.656741,45.578392
