Province,City/CMA,Vehicle type,Statistics,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025
Quebec,Québec,Passenger cars,Number of vehicles,131,241,218,293,235,487,431,650,300,927,767,600,546,401,654,609,255,413,390,222,246,263,400,277,243,308,431,485,292,429,532,570,129,62,95,86,114,105,228,249,438,155,555,406,370,378,224,421,420,187,255,206,129,180,171,322,236,235,286,371,408,218,397,441,435,93,69,146,132,179,130,259,182,212,145,372,361,230,168,177,233,189,68,158,184,93,66,92,78,41,8,22,60,77,74,32,91,135,36
Quebec,Québec,Pickup trucks 2,Number of vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,28,23,25,51,139,47,78,140,131,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,28,23,25,51,139,47,78,140,131,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quebec,Québec,Multi-purpose vehicles 3,Number of vehicles,25,24,14,30,71,121,127,119,177,248,236,211,138,156,413,349,337,603,542,508,503,673,494,648,780,"1,436","1,760","1,915","1,994","2,781","3,455","4,167",959,19,16,9,20,11,21,27,19,112,129,116,111,64,83,287,247,158,316,288,192,325,292,309,445,500,881,"1,091","1,162","1,371","1,879","2,397","3,116",692,6,8,5,10,60,100,100,100,65,119,120,100,74,73,126,102,179,287,254,316,178,381,185,203,280,555,669,753,623,902,"1,058","1,051",267
Quebec,Montréal,Passenger cars,Number of vehicles,473,794,818,"1,005",932,"1,883","1,477","2,151","1,109","3,363","2,725","1,986","2,008","1,546","2,300","2,080","1,659","2,833","2,615","1,563","2,462","1,916","3,436","2,646","2,095","2,233","2,917","2,407","1,873","2,665","2,900","2,966",590,209,330,346,433,396,890,883,"1,396",611,"1,958","1,573","1,219","1,391",898,"1,538","1,490","1,272","2,089","1,752","1,178","2,226","1,599","3,183","2,473","2,052","2,075","2,565","2,138","1,480","2,443","2,430","2,454",391,264,464,472,572,536,993,594,755,498,"1,405","1,152",767,617,648,762,590,387,744,863,385,236,317,253,173,43,158,352,269,393,222,470,512,199
Quebec,Montréal,Pickup trucks 2,Number of vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,126,102,183,184,350,339,205,418,812,829,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,126,102,183,184,350,339,205,418,812,829,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quebec,Montréal,Multi-purpose vehicles 3,Number of vehicles,107,88,103,92,253,457,472,393,581,927,764,731,495,510,"1,510","1,230","1,931","3,253","2,761","2,693","3,546","3,947","3,061","4,071","3,984","8,134","9,473","9,484","9,750","13,716","16,064","20,130","4,782",80,50,76,66,43,86,90,68,382,433,386,405,259,284,"1,090",843,"1,310","1,946","1,490","1,378","2,499","2,332","2,243","3,127","2,739","5,963","7,020","7,120","7,495","10,249","12,315","15,920","3,527",27,38,27,26,210,371,382,325,199,494,378,326,236,226,420,387,621,"1,307","1,271","1,315","1,047","1,615",818,944,"1,245","2,171","2,453","2,364","2,255","3,467","3,749","4,210","1,255"
Ontario,Ottawa - Gatineau,Passenger cars,Number of vehicles,116,174,174,188,205,581,347,145,49,164,205,125,111,93,158,107,98,201,202,216,220,259,245,136,168,181,265,223,173,203,247,186,136,37,69,70,77,89,327,212,108,16,119,140,83,80,73,115,89,71,165,159,194,206,230,220,117,156,164,231,196,135,178,204,150,97,79,105,104,111,116,254,135,37,33,45,65,42,31,20,43,18,27,36,43,22,14,29,25,19,12,17,34,27,38,25,43,36,39
Ontario,Ottawa - Gatineau,Pickup trucks 2,Number of vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,20,47,32,50,41,47,75,77,119,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,20,47,32,50,41,47,75,77,119,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ontario,Ottawa - Gatineau,Multi-purpose vehicles 3,Number of vehicles,16,31,12,21,52,108,115,32,28,68,62,49,49,30,177,156,179,290,242,305,340,502,490,393,389,782,763,856,690,912,924,917,769,8,18,8,14,7,31,15,9,14,21,26,18,24,11,128,119,119,197,145,202,241,372,375,286,262,518,493,587,454,545,601,561,492,8,13,4,7,45,77,100,23,14,47,36,31,25,19,49,37,60,93,97,103,99,130,115,107,127,264,270,269,236,367,323,356,277
Ontario,Toronto,Passenger cars,Number of vehicles,540,721,867,923,"1,010","2,809","2,177",731,509,"1,187","1,424",920,492,809,"1,057",962,671,"1,091","1,337","1,475","1,859","1,895","2,582","1,732","1,584","1,522","2,087","1,650","1,156","1,676","1,777","1,279",911,265,312,416,494,415,"1,831","1,371",556,371,965,"1,132",715,376,721,903,857,582,967,"1,146","1,383","1,775","1,765","2,471","1,643","1,534","1,399","1,916","1,536",963,"1,563","1,532","1,100",676,275,409,451,429,595,978,806,175,138,222,292,205,116,88,154,105,89,124,191,92,84,130,111,89,50,123,171,114,193,113,245,179,235
